dataset_accession,matrix_file,platform,feature_id,gene_symbol_raw,gene_symbol,is_annotated_to_gene,duplicate_feature_count_for_gene,recommended_probe_collapse_rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,MAPK12,MAPK12,MAPK12,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ABI3BP,ABI3BP,ABI3BP,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,IFNA,IFNA,IFNA,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TNF,TNF,TNF,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TNFRSF10A,TNFRSF10A,TNFRSF10A,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CDCA7L,CDCA7L,CDCA7L,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,GALNT2,GALNT2,GALNT2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,HOMER2,HOMER2,HOMER2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CD29,CD29,CD29,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PLEK2,PLEK2,PLEK2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ITGB6,ITGB6,ITGB6,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PLCG2,PLCG2,PLCG2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,IL2,IL2,IL2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,B7H3,B7H3,B7H3,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,STEAP1,STEAP1,STEAP1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,RPS6KB1,RPS6KB1,RPS6KB1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PD1,PD1,PD1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,BRPF1,BRPF1,BRPF1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,BMX,BMX,BMX,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CCND1,CCND1,CCND1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,Arginase1,ARGINASE1,ARGINASE1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PSAT1,PSAT1,PSAT1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,LAG3,LAG3,LAG3,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,RAC2,RAC2,RAC2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,SLC7A11,SLC7A11,SLC7A11,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CCL4L1,CCL4L1,CCL4L1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,LyPD1,LYPD1,LYPD1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TRAF5,TRAF5,TRAF5,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,FGF18,FGF18,FGF18,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PRKCB,PRKCB,PRKCB,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,XIAP,XIAP,XIAP,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TGFBR3,TGFBR3,TGFBR3,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CHK1,CHK1,CHK1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TGFBR2,TGFBR2,TGFBR2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,RASEF,RASEF,RASEF,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,MAGEA3,MAGEA3,MAGEA3,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,IKKA,IKKA,IKKA,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,DHX40,DHX40,DHX40,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CXCL13,CXCL13,CXCL13,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,IL17,IL17,IL17,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,LCK,LCK,LCK,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,RND2,RND2,RND2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ZNF703,ZNF703,ZNF703,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PRKCD,PRKCD,PRKCD,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ZBTB10,ZBTB10,ZBTB10,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CDH1,CDH1,CDH1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PYCRL,PYCRL,PYCRL,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,KDM2A,KDM2A,KDM2A,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,GCSF,GCSF,GCSF,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,RAD54B,RAD54B,RAD54B,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ERK2,ERK2,ERK2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,AKAP2,AKAP2,AKAP2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CLDN4,CLDN4,CLDN4,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CXCR1,CXCR1,CXCR1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,Ets2,ETS2,ETS2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PTTG1IP,PTTG1IP,PTTG1IP,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,RHEB,RHEB,RHEB,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,EGF,EGF,EGF,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,GSTM1,GSTM1,GSTM1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,JNK,JNK,JNK,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CD22,CD22,CD22,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,MAPK9,MAPK9,MAPK9,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ALK1,ALK1,ALK1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,MAML2,MAML2,MAML2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CYFIP2,CYFIP2,CYFIP2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,RASGRP3,RASGRP3,RASGRP3,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,GPNMB,GPNMB,GPNMB,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,RNF13,RNF13,RNF13,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,EHF,EHF,EHF,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,RFC4,RFC4,RFC4,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,LDHB,LDHB,LDHB,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,IL2RA,IL2RA,IL2RA,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,VEGFA,VEGFA,VEGFA,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CDC45L,CDC45L,CDC45L,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ALDH1A3,ALDH1A3,ALDH1A3,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CFLAR,CFLAR,CFLAR,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,RPS6KB2,RPS6KB2,RPS6KB2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ERBB2,ERBB2,ERBB2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,IKBIP,IKBIP,IKBIP,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,OCLN,OCLN,OCLN,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,IRS1,IRS1,IRS1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ERN1,ERN1,ERN1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,HRAS,HRAS,HRAS,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,MCT4,MCT4,MCT4,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PHLPP1,PHLPP1,PHLPP1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CD11c,CD11C,CD11C,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,KIAA0040,KIAA0040,KIAA0040,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,MMP11,MMP11,MMP11,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,IL1a,IL1A,IL1A,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,USP7,USP7,USP7,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TAFA2,TAFA2,TAFA2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PIK3R2,PIK3R2,PIK3R2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,NSD1,NSD1,NSD1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PLEKHA6,PLEKHA6,PLEKHA6,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TM7SF3,TM7SF3,TM7SF3,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CDKN1B,CDKN1B,CDKN1B,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CCL15,CCL15,CCL15,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TUBB2A,TUBB2A,TUBB2A,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PHLPP2,PHLPP2,PHLPP2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,EFNA1,EFNA1,EFNA1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PRND,PRND,PRND,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,Pfs2,PFS2,PFS2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,WBP4,WBP4,WBP4,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CRYAB,CRYAB,CRYAB,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,BRD7,BRD7,BRD7,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,NOTCH2,NOTCH2,NOTCH2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PNKP,PNKP,PNKP,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,LAD1,LAD1,LAD1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,BMF,BMF,BMF,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,IL17B,IL17B,IL17B,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,IFITM3,IFITM3,IFITM3,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,DLL1,DLL1,DLL1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,MASTL,MASTL,MASTL,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,RSK (RPS6KA1),"","",no,,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CD8,CD8,CD8,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,FGF7,FGF7,FGF7,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,NRG1,NRG1,NRG1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PIM1,PIM1,PIM1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,INSULINRECEPTOR,INSULINRECEPTOR,INSULINRECEPTOR,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CDS1,CDS1,CDS1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,LY6E,LY6E,LY6E,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TGFB1I1,TGFB1I1,TGFB1I1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,LGALS3,LGALS3,LGALS3,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,STRAP,STRAP,STRAP,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PCDH17,PCDH17,PCDH17,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ANGPT1,ANGPT1,ANGPT1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ZEB1,ZEB1,ZEB1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PTPN12,PTPN12,PTPN12,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TP53,TP53,TP53,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ENTPD3,ENTPD3,ENTPD3,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CCL17,CCL17,CCL17,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CD39,CD39,CD39,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,NFKBIA,NFKBIA,NFKBIA,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TCF4,TCF4,TCF4,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,Noxa,NOXA,NOXA,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TEK,TEK,TEK,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TGFA,TGFA,TGFA,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ITK,ITK,ITK,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,LGALS9,LGALS9,LGALS9,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,SETD8,SETD8,SETD8,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CXXC5,CXXC5,CXXC5,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,RPS6,RPS6,RPS6,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TIM3,TIM3,TIM3,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,HLAF,HLAF,HLAF,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,RAC,RAC,RAC,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,KIF13B,KIF13B,KIF13B,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,POLD1,POLD1,POLD1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,BIT1,BIT1,BIT1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,BTC,BTC,BTC,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,HOXC13,HOXC13,HOXC13,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ZMYM6NB,ZMYM6NB,ZMYM6NB,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,MICB,MICB,MICB,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,EVI2A,EVI2A,EVI2A,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PTGS2,PTGS2,PTGS2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ICAM2,ICAM2,ICAM2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PIM3,PIM3,PIM3,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,SPQR1214,SPQR1214,SPQR1214,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CDK10,CDK10,CDK10,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CDC6,CDC6,CDC6,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,GATA2,GATA2,GATA2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
